surrogate_key,sasdate,date_key,word_date,date,year,quarter,month,day_of_month,week,day_of_week,weekday,month_and_year,holiday,timezone_id,timezone,timezone_offset
0,22220,110120,"November 1, 2020",2020-11-01,2020,4,11,1,44,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
1,22221,110220,"November 2, 2020",2020-11-02,2020,4,11,2,44,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
2,22222,110320,"November 3, 2020",2020-11-03,2020,4,11,3,44,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
3,22223,110420,"November 4, 2020",2020-11-04,2020,4,11,4,44,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
4,22224,110520,"November 5, 2020",2020-11-05,2020,4,11,5,44,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
5,22225,110620,"November 6, 2020",2020-11-06,2020,4,11,6,44,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
6,22226,110720,"November 7, 2020",2020-11-07,2020,4,11,7,44,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
7,22227,110820,"November 8, 2020",2020-11-08,2020,4,11,8,45,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
8,22228,110920,"November 9, 2020",2020-11-09,2020,4,11,9,45,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
9,22229,111020,"November 10, 2020",2020-11-10,2020,4,11,10,45,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
10,22230,111120,"November 11, 2020",2020-11-11,2020,4,11,11,45,Wed,4,JAN1960,VETERANS,ETC/GMT+7,GMT-07:00,-25200
11,22231,111220,"November 12, 2020",2020-11-12,2020,4,11,12,45,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
12,22232,111320,"November 13, 2020",2020-11-13,2020,4,11,13,45,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
13,22233,111420,"November 14, 2020",2020-11-14,2020,4,11,14,45,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
14,22234,111520,"November 15, 2020",2020-11-15,2020,4,11,15,46,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
15,22235,111620,"November 16, 2020",2020-11-16,2020,4,11,16,46,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
16,22236,111720,"November 17, 2020",2020-11-17,2020,4,11,17,46,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
17,22237,111820,"November 18, 2020",2020-11-18,2020,4,11,18,46,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
18,22238,111920,"November 19, 2020",2020-11-19,2020,4,11,19,46,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
19,22239,112020,"November 20, 2020",2020-11-20,2020,4,11,20,46,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
20,22240,112120,"November 21, 2020",2020-11-21,2020,4,11,21,46,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
21,22241,112220,"November 22, 2020",2020-11-22,2020,4,11,22,47,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
22,22242,112320,"November 23, 2020",2020-11-23,2020,4,11,23,47,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
23,22243,112420,"November 24, 2020",2020-11-24,2020,4,11,24,47,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
24,22244,112520,"November 25, 2020",2020-11-25,2020,4,11,25,47,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
25,22245,112620,"November 26, 2020",2020-11-26,2020,4,11,26,47,Thu,5,JAN1960,THANKSGIVING,ETC/GMT+7,GMT-07:00,-25200
26,22246,112720,"November 27, 2020",2020-11-27,2020,4,11,27,47,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
27,22247,112820,"November 28, 2020",2020-11-28,2020,4,11,28,47,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
28,22248,112920,"November 29, 2020",2020-11-29,2020,4,11,29,48,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
29,22249,113020,"November 30, 2020",2020-11-30,2020,4,11,30,48,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
30,22250,120120,"December 1, 2020",2020-12-01,2020,4,12,1,48,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
31,22251,120220,"December 2, 2020",2020-12-02,2020,4,12,2,48,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
32,22252,120320,"December 3, 2020",2020-12-03,2020,4,12,3,48,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
33,22253,120420,"December 4, 2020",2020-12-04,2020,4,12,4,48,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
34,22254,120520,"December 5, 2020",2020-12-05,2020,4,12,5,48,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
35,22255,120620,"December 6, 2020",2020-12-06,2020,4,12,6,49,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
36,22256,120720,"December 7, 2020",2020-12-07,2020,4,12,7,49,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
37,22257,120820,"December 8, 2020",2020-12-08,2020,4,12,8,49,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
38,22258,120920,"December 9, 2020",2020-12-09,2020,4,12,9,49,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
39,22259,121020,"December 10, 2020",2020-12-10,2020,4,12,10,49,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
40,22260,121120,"December 11, 2020",2020-12-11,2020,4,12,11,49,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
41,22261,121220,"December 12, 2020",2020-12-12,2020,4,12,12,49,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
42,22262,121320,"December 13, 2020",2020-12-13,2020,4,12,13,50,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
43,22263,121420,"December 14, 2020",2020-12-14,2020,4,12,14,50,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
44,22264,121520,"December 15, 2020",2020-12-15,2020,4,12,15,50,Tue,3,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
45,22265,121620,"December 16, 2020",2020-12-16,2020,4,12,16,50,Wed,4,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
46,22266,121720,"December 17, 2020",2020-12-17,2020,4,12,17,50,Thu,5,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
47,22267,121820,"December 18, 2020",2020-12-18,2020,4,12,18,50,Fri,6,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
48,22268,121920,"December 19, 2020",2020-12-19,2020,4,12,19,50,Sat,7,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
49,22269,122020,"December 20, 2020",2020-12-20,2020,4,12,20,51,Sun,1,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
50,22270,122120,"December 21, 2020",2020-12-21,2020,4,12,21,51,Mon,2,JAN1960,,ETC/GMT+7,GMT-07:00,-25200
