Mobility_key,Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,"Transit_stations,",Workplaces,Residential,date
0,,Ottawa,Ontario,13.0,6.0,68.0,3.0,1.0,-2.0,2020-02-15
1,,Ottawa,Ontario,30.0,26.0,128.0,3.0,4.0,-4.0,2020-02-16
2,,Ottawa,Ontario,-30.0,-53.0,52.0,-40.0,-62.0,14.0,2020-02-17
3,,Ottawa,Ontario,-5.0,9.0,-8.0,-6.0,-2.0,1.0,2020-02-18
4,,Ottawa,Ontario,0.0,6.0,-8.0,-8.0,1.0,0.0,2020-02-19
5,,Ottawa,Ontario,6.0,4.0,0.0,-8.0,1.0,0.0,2020-02-20
6,,Ottawa,Ontario,-1.0,0.0,9.0,-9.0,-8.0,2.0,2020-02-21
7,,Ottawa,Ontario,17.0,11.0,54.0,5.0,4.0,-2.0,2020-02-22
8,,Ottawa,Ontario,18.0,17.0,38.0,4.0,6.0,-2.0,2020-02-23
9,,Ottawa,Ontario,4.0,5.0,13.0,-6.0,2.0,0.0,2020-02-24
10,,Ottawa,Ontario,1.0,10.0,2.0,-6.0,3.0,-1.0,2020-02-25
11,,Ottawa,Ontario,-5.0,6.0,-14.0,-2.0,1.0,1.0,2020-02-26
12,,Ottawa,Ontario,-25.0,-25.0,-29.0,-22.0,-31.0,13.0,2020-02-27
13,,Ottawa,Ontario,-2.0,3.0,-12.0,2.0,-3.0,2.0,2020-02-28
14,,Ottawa,Ontario,13.0,13.0,-8.0,4.0,7.0,-2.0,2020-02-29
15,,Ottawa,Ontario,17.0,22.0,17.0,3.0,9.0,-2.0,2020-03-01
16,,Ottawa,Ontario,2.0,6.0,-7.0,-5.0,4.0,0.0,2020-03-02
17,,Ottawa,Ontario,0.0,5.0,-10.0,-2.0,4.0,0.0,2020-03-03
18,,Ottawa,Ontario,3.0,9.0,-9.0,-2.0,5.0,0.0,2020-03-04
19,,Ottawa,Ontario,9.0,8.0,-5.0,-4.0,-1.0,0.0,2020-03-05
20,,Ottawa,Ontario,-3.0,-2.0,-10.0,-1.0,5.0,1.0,2020-03-06
21,,Ottawa,Ontario,18.0,12.0,16.0,5.0,6.0,-3.0,2020-03-07
22,,Ottawa,Ontario,16.0,20.0,30.0,0.0,6.0,-2.0,2020-03-08
23,,Ottawa,Ontario,4.0,8.0,11.0,-8.0,3.0,0.0,2020-03-09
24,,Ottawa,Ontario,-2.0,4.0,-9.0,-8.0,3.0,1.0,2020-03-10
25,,Ottawa,Ontario,2.0,12.0,-7.0,-5.0,3.0,0.0,2020-03-11
26,,Ottawa,Ontario,8.0,35.0,-3.0,-8.0,0.0,1.0,2020-03-12
27,,Ottawa,Ontario,-8.0,41.0,-22.0,-18.0,-6.0,5.0,2020-03-13
28,,Ottawa,Ontario,-9.0,24.0,3.0,-17.0,-2.0,3.0,2020-03-14
