Weather_key,Climate_id,Daily_high_temperature,Daily_low_temperature,Daily_mean_tempera,Total_precip,Total_rain,Total_snow,Direction_max_gust,Speed_max_gust,Cooling_degree_days,Heating_degree_days,Longitude (x),Latitude (y),date
0,6106001,7.8,-0.7,3.6,2.2,2.2,0.0,17.0,45.0,0.0,14.4,-75.67,45.32,2020-11-01
1,6106001,2.0,-2.5,-0.3,2.4,0.0,3.7,32.0,80.0,0.0,18.3,-75.67,45.32,2020-11-02
2,6106001,0.3,-4.1,-1.9,0.0,0.0,0.0,31.0,65.0,0.0,19.9,-75.67,45.32,2020-11-03
3,6106001,13.8,-3.0,5.4,0.0,0.0,0.0,,,0.0,12.6,-75.67,45.32,2020-11-04
4,6106001,19.3,-1.2,9.1,0.0,0.0,0.0,22.0,48.0,0.0,8.9,-75.67,45.32,2020-11-05
5,6106001,18.4,7.6,13.0,0.0,0.0,0.0,20.0,37.0,0.0,5.0,-75.67,45.32,2020-11-06
6,6106001,20.7,8.6,14.7,0.0,0.0,0.0,22.0,33.0,0.0,3.3,-75.67,45.32,2020-11-07
7,6106001,21.5,6.4,14.0,0.0,0.0,0.0,,,0.0,4.0,-75.67,45.32,2020-11-08
8,6106001,22.5,6.2,14.4,0.0,0.0,0.0,,,0.0,3.6,-75.67,45.32,2020-11-09
9,6106001,23.4,9.0,16.2,0.0,0.0,0.0,23.0,37.0,0.0,1.8,-75.67,45.32,2020-11-10
10,6106001,19.6,2.3,11.0,0.6,0.6,0.0,28.0,54.0,0.0,7.0,-75.67,45.32,2020-11-11
11,6106001,7.7,-3.3,2.2,0.0,0.0,0.0,,,0.0,15.8,-75.67,45.32,2020-11-12
12,6106001,6.0,-4.4,0.8,0.0,0.0,0.0,5.0,32.0,0.0,17.2,-75.67,45.32,2020-11-13
13,6106001,4.8,-5.5,-0.4,0.0,0.0,0.0,28.0,46.0,0.0,18.4,-75.67,45.32,2020-11-14
14,6106001,8.8,-4.9,2.0,2.7,2.7,0.0,21.0,74.0,0.0,16.0,-75.67,45.32,2020-11-15
15,6106001,7.8,1.0,4.4,0.0,0.0,0.0,23.0,68.0,0.0,13.6,-75.67,45.32,2020-11-16
16,6106001,2.2,-8.3,-3.1,0.0,0.0,0.0,32.0,46.0,0.0,21.1,-75.67,45.32,2020-11-17
17,6106001,-2.9,-9.5,-6.2,0.0,0.0,0.0,28.0,39.0,0.0,24.2,-75.67,45.32,2020-11-18
18,6106001,8.2,-6.2,1.0,0.0,0.0,0.0,17.0,37.0,0.0,17.0,-75.67,45.32,2020-11-19
19,6106001,15.1,6.2,10.7,0.0,0.0,0.0,19.0,52.0,0.0,7.3,-75.67,45.32,2020-11-20
20,6106001,7.2,-6.2,0.5,0.0,0.0,0.0,28.0,42.0,0.0,17.5,-75.67,45.32,2020-11-21
21,6106001,0.1,-6.9,-3.4,12.2,5.2,7.8,6.0,39.0,0.0,21.4,-75.67,45.32,2020-11-22
22,6106001,0.6,-1.7,-0.6,5.2,2.8,1.4,29.0,46.0,0.0,18.6,-75.67,45.32,2020-11-23
23,6106001,-1.0,-11.6,-6.3,0.0,0.0,0.0,32.0,46.0,0.0,24.3,-75.67,45.32,2020-11-24
24,6106001,-0.5,-6.3,-3.4,7.5,0.5,10.4,7.0,37.0,0.0,21.4,-75.67,45.32,2020-11-25
25,6106001,1.8,-0.3,0.8,1.8,1.8,0.0,6.0,33.0,0.0,17.2,-75.67,45.32,2020-11-26
26,6106001,4.3,1.6,3.0,0.0,0.0,0.0,,,0.0,15.0,-75.67,45.32,2020-11-27
27,6106001,4.6,0.8,2.7,0.0,0.0,0.0,28.0,32.0,0.0,15.3,-75.67,45.32,2020-11-28
28,6106001,7.6,0.5,4.1,0.0,0.0,0.0,,,0.0,13.9,-75.67,45.32,2020-11-29
29,6106001,4.4,-0.3,2.1,12.3,12.3,0.0,4.0,52.0,0.0,15.9,-75.67,45.32,2020-11-30
30,6106001,5.3,0.8,3.1,6.1,6.1,0.0,18.0,33.0,0.0,14.9,-75.67,45.32,2020-12-01
31,6106001,1.3,-5.2,-2.0,2.0,0.4,2.0,27.0,42.0,0.0,20.0,-75.67,45.32,2020-12-02
32,6106001,3.4,-5.2,-0.9,0.0,0.0,0.0,24.0,50.0,0.0,18.9,-75.67,45.32,2020-12-03
33,6106001,3.0,0.0,1.5,4.3,3.9,0.2,20.0,33.0,0.0,16.5,-75.67,45.32,2020-12-04
34,6106001,1.1,-4.6,-1.8,0.0,0.0,0.0,34.0,42.0,0.0,19.8,-75.67,45.32,2020-12-05
35,6106001,-1.6,-5.6,-3.6,0.0,0.0,0.0,32.0,54.0,0.0,21.6,-75.67,45.32,2020-12-06
36,6106001,-2.8,-7.4,-5.1,0.0,0.0,0.0,33.0,32.0,0.0,23.1,-75.67,45.32,2020-12-07
37,6106001,-5.0,-9.2,-7.1,0.0,0.0,0.0,,,0.0,25.1,-75.67,45.32,2020-12-08
38,6106001,1.3,-6.2,-2.5,2.1,0.3,3.0,,,0.0,20.5,-75.67,45.32,2020-12-09
39,6106001,1.4,-1.2,0.1,0.0,0.0,0.0,30.0,39.0,0.0,17.9,-75.67,45.32,2020-12-10
40,6106001,4.2,-1.0,1.6,0.0,0.0,0.0,,,0.0,16.4,-75.67,45.32,2020-12-11
41,6106001,2.0,0.0,1.0,3.0,3.0,0.0,6.0,50.0,0.0,17.0,-75.67,45.32,2020-12-12
